Layer,Duration (seconds)
total_training_0,10.211928299999272
total_training_1,10.705263899999409
total_training_2,10.5453250999999
total_training_3,10.109033199998521
total_training_4,10.1969906000013
total_training_5,10.107733900000312
total_training_6,10.144482200001221
total_training_7,10.137962200002221
total_training_8,10.16023199999836
total_training_9,10.16035120000015
total_training_10,10.147896499998751
total_training_11,10.125001299998985
total_training_12,10.450474599998415
total_training_13,11.024545199998101
total_training_14,10.681683200000407
20_60_execution_time,154.9524201000022
