Layer,Duration (seconds)
total_hidden,1.6732718000002933
total_output,6.70000008540228e-06
total_training_0,1.6997129000001223
total_hidden,1.697488899999371
total_output,6.199999916134402e-06
total_training_1,1.7235162999995737
total_hidden,1.6632768999998007
total_output,1.4700000065204222e-05
total_training_2,1.6886344999993526
total_hidden,1.6750034000006053
total_output,1.500000053056283e-05
total_training_3,1.700260700000399
total_hidden,1.6697752999998556
total_output,6.199999916134402e-06
total_training_4,1.6956062999997812
total_hidden,1.6734298999999737
total_output,7.0000005507608876e-06
total_training_5,1.6987149999995381
total_hidden,1.6586017999998148
total_output,6.600000233447645e-06
total_training_6,1.6834767999998803
total_hidden,1.675660799999605
total_output,6.799999937356915e-06
total_training_7,1.7020320999999967
total_hidden,1.6532598000003418
total_output,6.499999471998308e-06
total_training_8,1.6788042999996833
total_hidden,1.6698269999997137
total_output,6.299999768089037e-06
total_training_9,1.6944648999997298
total_hidden,1.6784944999999425
total_output,6.799999937356915e-06
total_training_10,1.7045146000000386
total_hidden,1.667480400000386
total_output,7.499999810534064e-06
total_training_11,1.6938140999991447
total_hidden,1.6634626999993998
total_output,6.600000233447645e-06
total_training_12,1.6894357999999556
total_hidden,1.6759325999992143
total_output,6.199999916134402e-06
total_training_13,1.7004007000005004
total_hidden,1.6560013999996954
total_output,6.70000008540228e-06
total_training_14,1.6812478000001647
60_60_execution_time,26.704975399999967
