training_type,data_name,max_iter,n_particle,exec,score_train,score_test,score_val
individual_layers,breast,60,20,169.81469819999984,0.635678391959799,0.5701754385964912,0.6842105263157895
individual_layers,breast,60,40,306.002958699999,0.6407035175879398,0.5964912280701754,0.6842105263157895
individual_layers,breast,60,60,437.20211089999793,0.36180904522613067,0.37719298245614036,0.3333333333333333
individual_layers,breast,60,80,574.8683660999995,0.7688442211055276,0.7719298245614035,0.7719298245614035
individual_layers,breast,60,100,706.1843894000012,0.5226130653266332,0.4824561403508772,0.6140350877192983
individual_layers,breast,80,20,217.37888389999716,0.6331658291457286,0.5701754385964912,0.6842105263157895
individual_layers,breast,80,40,400.7711214999981,0.5603015075376885,0.5263157894736842,0.5614035087719298
individual_layers,breast,80,60,575.011238500003,0.19597989949748743,0.2894736842105263,0.24561403508771928
individual_layers,breast,80,80,758.556822700004,0.48743718592964824,0.43859649122807015,0.49122807017543857
individual_layers,breast,80,100,930.1877936000019,0.1884422110552764,0.18421052631578946,0.14035087719298245
individual_layers,breast,100,20,266.5145756999991,0.6557788944723618,0.6491228070175439,0.7368421052631579
individual_layers,breast,100,40,492.9667499999996,0.5301507537688442,0.5614035087719298,0.543859649122807
individual_layers,breast,100,60,712.6689390000029,0.635678391959799,0.5701754385964912,0.6842105263157895
individual_layers,breast,100,80,939.3137925999981,0.3768844221105528,0.43859649122807015,0.2982456140350877
individual_layers,breast,100,100,1155.5297343999991,0.635678391959799,0.5701754385964912,0.6842105263157895
individual_layers,breast,500,20,1268.9940237000046,0.41457286432160806,0.39473684210526316,0.3684210526315789
individual_layers,breast,500,40,2392.557336400001,0.6331658291457286,0.5701754385964912,0.6842105263157895
individual_layers,breast,500,60,3472.6245364999995,0.6331658291457286,0.5701754385964912,0.6842105263157895
individual_layers,breast,500,80,4615.7383135000055,0.6331658291457286,0.5614035087719298,0.7017543859649122
individual_layers,breast,500,100,5728.069948199998,0.3592964824120603,0.40350877192982454,0.3333333333333333
individual_layers,breast,1000,20,2468.8370313999985,0.6231155778894473,0.5877192982456141,0.6666666666666666
individual_layers,breast,1000,40,4733.837154000001,0.45979899497487436,0.39473684210526316,0.40350877192982454
individual_layers,breast,1000,60,6754.653304700005,0.635678391959799,0.5701754385964912,0.6842105263157895
individual_layers,breast,1000,80,8908.052216199998,0.6256281407035176,0.5614035087719298,0.6666666666666666
individual_layers,breast,1000,100,10997.437744900002,0.39949748743718594,0.34210526315789475,0.3684210526315789
training_exchange_layers,breast,20,20,74.13055720000011,0.04773869346733668,0.05263157894736842,0.05263157894736842
training_exchange_layers,breast,20,40,126.32015539999975,0.07788944723618091,0.05263157894736842,0.05263157894736842
