training_type,data_name,max_iter,n_particle,exec,score_train,score_test,score_val
individual_layers,circle,80,40,21.815275400000246,0.4857142857142857,0.57,0.46
individual_layers,circle,80,60,25.105475000000297,0.37714285714285717,0.28,0.48
individual_layers,circle,80,80,28.45178400000077,0.47714285714285715,0.55,0.56
individual_layers,circle,80,100,31.963040899998305,0.5142857142857142,0.5,0.4
individual_layers,circle,100,20,19.46537520000129,0.28,0.28,0.3
individual_layers,circle,100,40,23.776721300000645,0.6314285714285715,0.69,0.66
individual_layers,circle,100,60,27.881650000002992,0.6028571428571429,0.61,0.6
individual_layers,circle,100,80,32.17069700000138,0.49142857142857144,0.52,0.52
individual_layers,circle,100,100,36.2439211000019,0.3514285714285714,0.35,0.2
individual_layers,circle,500,20,40.279604599996674,0.3457142857142857,0.3,0.32
individual_layers,circle,500,40,61.637377600000036,0.5,0.5,0.5
individual_layers,circle,500,60,82.00692530000015,0.5085714285714286,0.51,0.42
individual_layers,circle,500,80,102.23459690000163,0.34,0.42,0.34
individual_layers,circle,500,100,122.80653529999836,0.20285714285714285,0.14,0.18
individual_layers,circle,1000,20,66.51463949999743,0.48,0.46,0.44
individual_layers,circle,1000,40,108.58888990000196,0.5771428571428572,0.62,0.66
individual_layers,circle,1000,60,149.48128819999692,0.34,0.43,0.2
individual_layers,circle,1000,80,189.71079069999905,0.4828571428571429,0.63,0.36
individual_layers,circle,1000,100,230.64285599999857,0.5057142857142857,0.52,0.58
training_exchange_layers,circle,20,20,4.096088500000064,0.12,0.18,0.02
training_exchange_layers,circle,20,40,6.339756600000101,0.04857142857142857,0.05,0.1
training_exchange_layers,circle,20,60,8.500295199999982,0.2,0.11,0.08
training_exchange_layers,circle,20,80,10.856219600000031,0.005714285714285714,0.01,0.02
training_exchange_layers,circle,20,100,13.241947399999958,0.02,0.03,0.08
training_exchange_layers,circle,40,20,6.519473299999959,0.12857142857142856,0.05,0.04
training_exchange_layers,circle,40,40,11.086589799999956,0.017142857142857144,0.04,0.04
training_exchange_layers,circle,40,60,15.81883879999998,0.03142857142857143,0.03,0.06
training_exchange_layers,circle,40,80,20.66964310000003,0.011428571428571429,0.0,0.04
training_exchange_layers,circle,40,100,24.570761800000014,0.002857142857142857,0.01,0.0
training_exchange_layers,circle,60,20,9.17092290000005,0.002857142857142857,0.0,0.0
training_exchange_layers,circle,60,40,15.889700699999935,0.008571428571428572,0.03,0.02
training_exchange_layers,circle,60,60,23.198242499999992,0.005714285714285714,0.0,0.0
training_exchange_layers,circle,60,80,30.118210099999942,0.011428571428571429,0.03,0.02
