training_type,data_name,max_iter,n_particle,best,worst
training_exchange_layers,circle,80,100,0.0783395618512215,0.6635290979926077
training_exchange_layers,circle,100,20,0.1991901730616683,0.7217071187147898
training_exchange_layers,circle,100,40,0.1692515355037733,0.6984679862112174
training_exchange_layers,circle,100,60,0.1138853089522291,0.983822452368602
training_exchange_layers,circle,100,80,0.0881311671954282,0.6463447367396031
training_exchange_layers,circle,100,100,0.0419544538227535,0.674079113600862
training_exchange_layers,circle,500,20,0.0283091959903197,0.7514757674275659
training_exchange_layers,circle,500,40,0.0448455564332898,0.6449400276128584
training_exchange_layers,circle,500,60,0.0181855403841004,0.6629117828166536
training_exchange_layers,circle,500,80,0.0019839568573288,0.668342349247314
training_exchange_layers,circle,500,100,0.001446167030129,0.9146863313122732
training_exchange_layers,circle,1000,20,0.0398182002818702,0.960962441098771
training_exchange_layers,circle,1000,40,0.0043268222108688,0.878218943694306
training_exchange_layers,circle,1000,60,0.0110700833584115,4.673930762750039
training_exchange_layers,circle,1000,80,0.0015304316217439,0.6786454793735888
training_exchange_layers,circle,1000,100,0.0001816013904478,0.5854980829483187
training_exchange_layers_e,circle,20,20,0.5338943870364423,0.6834982935317223
training_exchange_layers_e,circle,20,40,0.3633170346275231,0.7306768837098232
training_exchange_layers_e,circle,20,60,0.3643296644602328,0.6804931727767125
training_exchange_layers_e,circle,20,80,0.5027828110876169,0.6941329352136483
training_exchange_layers_e,circle,20,100,0.3703426341060124,0.6759772716010086
training_exchange_layers_e,circle,40,20,0.4296288546599395,0.697854885499269
training_exchange_layers_e,circle,40,40,0.2261312190880291,0.7933340676635305
training_exchange_layers_e,circle,40,60,0.2542542351771386,0.7000075738116995
training_exchange_layers_e,circle,40,80,0.2482465690720275,0.6713147680780974
training_exchange_layers_e,circle,40,100,0.1097270370819364,0.7424664617323332
training_exchange_layers_e,circle,60,20,0.3416603957636806,0.7065073820737772
training_exchange_layers_e,circle,60,40,0.1402504303495999,0.7374428174075794
training_exchange_layers_e,circle,60,60,0.1144742807048532,0.6927973104511721
training_exchange_layers_e,circle,60,80,0.1295436036079538,0.7278293284523628
training_exchange_layers_e,circle,60,100,0.0759992697617844,0.8807212437676504
training_exchange_layers_e,circle,80,20,0.4063632615252388,0.8262061110575624
training_exchange_layers_e,circle,80,40,0.13974569484435,0.7033801304802246
training_exchange_layers_e,circle,80,60,0.060274740232056,0.8254834402944502
training_exchange_layers_e,circle,80,80,0.0643177988712282,1.1715243659593175
training_exchange_layers_e,circle,80,100,0.0736464617730954,0.7364455338425053
training_exchange_layers_e,circle,100,20,0.1649910549088263,0.7187741314100896
training_exchange_layers_e,circle,100,40,0.1221208577598975,0.6988289025356906
training_exchange_layers_e,circle,100,60,0.0855402416528415,0.7119381550606068
training_exchange_layers_e,circle,100,80,0.0804910730707434,0.7138639867381097
training_exchange_layers_e,circle,100,100,0.0903442976929046,0.6973513019469566
training_exchange_layers_e,circle,500,20,0.0765300449955112,0.9110209526959095
training_exchange_layers_e,circle,500,40,0.006554236819538,1.5195705622682785
