training_type,data_name,max_iter,n_particle,best,worst
no_individual_layers,iris,20,80,0.0803570245616024,0.7281692414309049
no_individual_layers,iris,20,100,0.2148947829728656,0.8140699780113728
no_individual_layers,iris,40,20,0.2276263608994855,0.9906746511578616
no_individual_layers,iris,40,40,0.1544380164544814,1.003166406050176
no_individual_layers,iris,40,60,0.0654647365725504,0.6405075505929907
no_individual_layers,iris,40,80,0.1714277558000197,0.7591386175460617
no_individual_layers,iris,40,100,0.0888914516496266,0.6958870630996813
no_individual_layers,iris,60,20,0.2468328426658962,0.9119618211331608
no_individual_layers,iris,60,40,0.0679272560174107,0.9386262039286332
no_individual_layers,iris,60,60,0.0882797249341206,0.8150310320262314
no_individual_layers,iris,60,80,0.0867839889091192,0.6732746874811422
no_individual_layers,iris,60,100,0.0992484896533069,0.6753799553220761
no_individual_layers,iris,80,20,0.0560259727475585,0.9383839286083686
no_individual_layers,iris,80,40,0.0587637944058016,0.8728434267785513
no_individual_layers,iris,80,60,0.1075950832329308,0.6809768049547313
no_individual_layers,iris,80,80,0.074643340871265,0.7675304399193723
no_individual_layers,iris,80,100,0.0508663051935763,0.6558597174204346
no_individual_layers,iris,100,20,0.218425913136076,0.7697563663237453
no_individual_layers,iris,100,40,0.0864424239759187,1.0144831798574614
no_individual_layers,iris,100,60,0.0632004137754119,0.6226601267682501
no_individual_layers,iris,100,80,0.0527303844794477,0.6212263505735193
no_individual_layers,iris,100,100,0.0949817219238634,0.8889038384111551
no_individual_layers,iris,500,20,0.0800026646856214,1.0470512571809958
no_individual_layers,iris,500,40,0.0529317941175114,0.8904846449455998
no_individual_layers,iris,500,60,0.0592258749579463,0.8025257425213087
no_individual_layers,iris,500,80,0.0472452325152471,0.8292092814632052
no_individual_layers,iris,500,100,0.0462362454685675,0.7101181559438462
no_individual_layers,iris,1000,20,0.0520347424534072,0.8383460568906898
no_individual_layers,iris,1000,40,0.0491466360946753,0.8456517805744951
no_individual_layers,iris,1000,60,0.0451147729929656,0.8566914046229552
no_individual_layers,iris,1000,80,0.046978201478387,0.749967515098594
no_individual_layers,iris,1000,100,0.0518933167028271,0.6209264334326617
no_exchange_layers,iris,20,20,0.0898457385524148,0.6415298578575586
no_exchange_layers,iris,20,40,0.1479402985069313,3.017383225974218
no_exchange_layers,iris,20,60,0.0716585101620541,0.6007106571529678
no_exchange_layers,iris,20,80,0.0905206605513187,0.7907822896201712
no_exchange_layers,iris,20,100,0.0980612260286598,0.7361130908187764
no_exchange_layers,iris,40,20,0.260063497362777,0.987052721058732
no_exchange_layers,iris,40,40,0.1165372777689112,0.8401072174389745
no_exchange_layers,iris,40,60,0.0625008529674726,0.6063319246306568
no_exchange_layers,iris,40,80,0.0601568580604679,0.5647666723061392
no_exchange_layers,iris,40,100,0.0558561810468832,0.6737616369927648
no_exchange_layers,iris,60,20,0.0544470905276212,1.209813083656557
no_exchange_layers,iris,60,40,0.0966125219265751,0.7370549558856166
no_exchange_layers,iris,60,60,0.0577590183817517,0.836082525498018
no_exchange_layers,iris,60,80,0.0520252546070392,0.6680406171705296
no_exchange_layers,iris,60,100,0.0498677036109746,0.608808954195812
no_exchange_layers,iris,80,20,0.0818349592411328,0.8799280879091744
no_exchange_layers,iris,80,40,0.0583748521297257,0.7714208295975794
no_exchange_layers,iris,80,60,0.0601994751377092,0.4790780250540401
no_exchange_layers,iris,80,80,0.0512935979076834,0.8737100711546133
