training_type,data_name,max_iter,n_particle,best,worst
exchange_layers,wine,20,20,0.1181070484143594,1.4529386045467694
exchange_layers,wine,20,40,0.1748438447425803,1.0143067410201594
exchange_layers,wine,20,60,0.2072489326920739,0.9199436990319232
exchange_layers,wine,20,80,0.1020765343443822,0.857988345728067
exchange_layers,wine,20,100,0.1210971718119012,0.6597542548247277
exchange_layers,wine,40,20,0.0679085863604679,1.5629423236716398
exchange_layers,wine,40,40,0.0766393902245067,1.0633337131440035
exchange_layers,wine,40,60,0.0660284533165551,0.7474995802384871
exchange_layers,wine,40,80,0.0515368428373034,1.181789489799713
exchange_layers,wine,40,100,0.0410859736248205,0.6748038792703294
exchange_layers,wine,60,20,0.1280538431400683,2.913977486601705
exchange_layers,wine,60,40,0.0540627082920014,0.9438546919880682
exchange_layers,wine,60,60,0.0137747851577717,1.7615046205076823
exchange_layers,wine,60,80,0.0618683316805712,0.4941390778008799
exchange_layers,wine,60,100,0.0654966013133765,0.7108439901086311
exchange_layers,wine,80,20,0.1034905701125576,0.8652115678879216
exchange_layers,wine,80,40,0.0066385828222481,0.7373358693033706
exchange_layers,wine,80,60,0.0279542757417733,0.7496546176053354
exchange_layers,wine,80,80,0.0206207820593173,1.0123155353528197
exchange_layers,wine,80,100,0.0109394894450429,0.6503655478721564
exchange_layers,wine,100,20,0.0230041754428386,1.5405468778404572
exchange_layers,wine,100,40,0.0033052016168809,1.1476725291505432
exchange_layers,wine,100,60,0.0283405321328635,1.20643219059404
exchange_layers,wine,100,80,0.0014379396390741,0.9508288745169332
exchange_layers,wine,100,100,0.0011335095627435,1.3906455206574
exchange_layers,wine,500,20,0.0002075208546482,0.7012504878844262
exchange_layers,wine,500,40,4.262125959287523e-06,1.1057081278292076
exchange_layers,wine,500,60,4.032258064516129e-06,1.326674933615696
exchange_layers,wine,500,80,0.0002592444692994,0.7898848614770978
exchange_layers,wine,500,100,4.032259575666653e-06,0.9127206907886958
exchange_layers,wine,1000,20,4.032258064516129e-06,0.8709905067988664
exchange_layers,wine,1000,40,4.032258065447284e-06,1.2208640644474031
exchange_layers,wine,1000,60,4.032303645449442e-06,0.6143953119152549
exchange_layers,wine,1000,80,4.032258064516129e-06,0.6431471955100468
exchange_layers,wine,1000,100,4.032258064516129e-06,1.2759858192919415
individual_layers,wine,20,20,0.2211637116453314,1.4579578692101665
individual_layers,wine,20,40,0.2602367334138873,1.0720631644846843
individual_layers,wine,20,60,0.1387100148424808,1.1156703128456995
individual_layers,wine,20,80,0.0787165154245322,0.8663247108539129
individual_layers,wine,20,100,0.1200100297984539,1.0474782458120215
individual_layers,wine,40,20,0.1691538847728985,1.480887224108715
individual_layers,wine,40,40,0.0600587404444802,1.5173341182349065
individual_layers,wine,40,60,0.069569155565874,0.5001862179256843
individual_layers,wine,40,80,0.054753723706055,0.584278392254862
individual_layers,wine,40,100,0.1023759244082564,0.9657650460361288
individual_layers,wine,60,20,0.1577857502431248,1.0256080193322008
individual_layers,wine,60,40,0.038560804443953,1.1579753547517433
individual_layers,wine,60,60,0.0574286841101517,0.6289652907507732
individual_layers,wine,60,80,0.0546481029177197,0.6336795521124171
individual_layers,wine,60,100,0.048505169169789,0.7928862892971238
individual_layers,wine,80,20,0.0651159909699307,0.933987490283852
individual_layers,wine,80,40,0.0669085829098085,0.8166244067938736
individual_layers,wine,80,60,0.0208585470399567,0.7809496277351907
individual_layers,wine,80,80,0.0483153664283317,0.9574400001597032
individual_layers,wine,80,100,0.0532180876354491,0.9881472309811968
individual_layers,wine,100,20,0.0619707325434577,0.9462312873460788
individual_layers,wine,100,40,0.0095286997391606,0.890382215928589
individual_layers,wine,100,60,0.0142058454034719,0.7484195631056857
individual_layers,wine,100,80,0.0164544231417671,0.9084535369089052
individual_layers,wine,100,100,0.0132257488246423,0.8898383302050471
individual_layers,wine,500,20,0.0009873647426544,1.247863951981276
