training_type,data_name,max_iter,n_particle,best,worst
training_exchange_layers,breast,80,20,0.0619315454146205,0.8410746098375389
training_exchange_layers,breast,80,40,0.1022739834805154,0.3048422825877663
training_exchange_layers,breast,80,60,0.0651639554107975,0.566383668720089
training_exchange_layers,breast,80,80,0.0724422612505254,0.3275415024333782
training_exchange_layers,breast,80,100,0.0662970227653325,0.2599377447277304
training_exchange_layers,breast,100,20,0.1321743271971316,0.5495810992265471
training_exchange_layers,breast,100,40,0.1152833920623976,0.6125380883325441
training_exchange_layers,breast,100,60,0.0920876051098811,0.2920546581070589
training_exchange_layers,breast,100,80,0.0678023113142725,0.3973398112434067
training_exchange_layers,breast,100,100,0.0655272527444644,0.39398800740015
training_exchange_layers,breast,500,20,0.0315792203416579,0.6470796040016984
training_exchange_layers,breast,500,40,0.0332511021838641,0.2883674992091149
training_exchange_layers,breast,500,60,0.0306596661096816,0.3510968976543251
training_exchange_layers,breast,500,80,0.0228748118080941,0.3606422752927307
training_exchange_layers,breast,500,100,0.0145684453470268,0.3623310457728025
training_exchange_layers,breast,1000,20,0.0121652645796294,1.324815903452828
training_exchange_layers,breast,1000,40,0.0066776403949374,0.6943296457653771
training_exchange_layers,breast,1000,60,0.0107231127610765,0.4483435974098365
training_exchange_layers,breast,1000,80,0.0093670658641799,0.4229051071807797
training_exchange_layers,breast,1000,100,0.0273352350675847,0.2904106420114135
training_exchange_layers_e,breast,20,20,0.2101783323869296,0.4841581754661996
training_exchange_layers_e,breast,20,40,0.2345527720290094,0.3905361240986912
training_exchange_layers_e,breast,20,60,0.0920940357699563,0.3703099109449738
training_exchange_layers_e,breast,20,80,0.1037605439158653,0.9400712436099864
training_exchange_layers_e,breast,20,100,0.1177926035972688,0.2928378585403199
training_exchange_layers_e,breast,40,20,0.1557442045669904,0.3421695897666278
training_exchange_layers_e,breast,40,40,0.1155786491697697,0.5778111366673593
training_exchange_layers_e,breast,40,60,0.100722456068028,0.3168401813625509
training_exchange_layers_e,breast,40,80,0.126139179575381,0.5504751897599073
training_exchange_layers_e,breast,40,100,0.11709500698515,0.3659079805579905
training_exchange_layers_e,breast,60,20,0.1186617304594794,0.5254617236151863
training_exchange_layers_e,breast,60,40,0.1228571422047841,0.2220511521621479
training_exchange_layers_e,breast,60,60,0.0880372351087044,0.4018836779800527
training_exchange_layers_e,breast,60,80,0.0999451649828086,0.3171735989523199
training_exchange_layers_e,breast,60,100,0.069633625282739,0.3400973812869486
training_exchange_layers_e,breast,80,20,0.086429936459986,0.7629430060066328
training_exchange_layers_e,breast,80,40,0.0855565009149964,1.0108285864335944
training_exchange_layers_e,breast,80,60,0.115082778340759,0.3800406497093218
training_exchange_layers_e,breast,80,80,0.078196511801961,0.3546467248884387
training_exchange_layers_e,breast,80,100,0.0597837738718645,0.2814519814680581
training_exchange_layers_e,breast,100,20,0.0921837990447842,0.6995073305574615
training_exchange_layers_e,breast,100,40,0.0964144829154253,0.5784637384071136
training_exchange_layers_e,breast,100,60,0.0969179075086806,0.7818292121175373
training_exchange_layers_e,breast,100,80,0.0786871156304045,0.3317879758698142
training_exchange_layers_e,breast,100,100,0.1005046673731238,0.3275950529967242
training_exchange_layers_e,breast,500,20,0.0478154830913395,1.234690450197036
training_exchange_layers_e,breast,500,40,0.0240373698918236,0.3066675120759786
training_exchange_layers_e,breast,500,60,0.0347452214036748,0.4194280843705264
training_exchange_layers_e,breast,500,80,0.0174483178319274,0.4242399191535598
training_exchange_layers_e,breast,500,100,0.0282208011440566,0.382243883979402
training_exchange_layers_e,breast,1000,20,0.0209412715982897,0.5411393102847575
training_exchange_layers_e,breast,1000,40,0.0085920917805254,0.807912406052991
training_exchange_layers_e,breast,1000,60,0.0069114009197297,0.5133134775912653
training_exchange_layers_e,breast,1000,80,0.044215463782671,0.2242892464872445
training_exchange_layers_e,breast,1000,100,0.0031029488861646,0.5428503917119099
no_individual_layers,breast,20,20,0.2019780123840245,0.6286646096628501
no_individual_layers,breast,20,40,0.1389873012990358,0.4677144871887294
no_individual_layers,breast,20,60,0.1688329320974465,0.4951439773933746
no_individual_layers,breast,20,80,0.131104723528552,0.301471131236962
no_individual_layers,breast,20,100,0.0951395372479126,0.3447599354828267
no_individual_layers,breast,40,20,0.0913320691481802,0.4722895381731722
no_individual_layers,breast,40,40,0.1169224263764633,0.461232093541711
no_individual_layers,breast,40,60,0.1211830698425645,0.373287370967228
no_individual_layers,breast,40,80,0.0777614698305455,0.3578773024319642
no_individual_layers,breast,40,100,0.0891487074162953,0.3655467284890124
no_individual_layers,breast,60,20,0.0713065660573833,0.4731642565271723
no_individual_layers,breast,60,40,0.1096095292928645,0.5189391885545672
