Layer,Duration (seconds)
total_output,1.0926240000007965
total_hidden,1.1812151999984053
total_training_0,2.0190621000001556
total_output,1.0985538999993878
total_hidden,1.1698883999997634
total_training_1,1.9989917000020796
total_output,1.1166494000026432
total_hidden,1.1768308999999135
total_training_2,2.034476099997846
total_output,1.1314101999996637
total_hidden,1.1895500999999058
total_training_3,2.041745599999558
total_output,1.1056193000003987
total_hidden,1.1866049999989627
total_training_4,2.038602099997661
total_output,1.1011753999991925
total_hidden,1.174984500001301
total_training_5,2.0087295999983326
total_output,1.0936051000026055
total_hidden,1.1556730000011157
total_training_6,1.9847413999996206
total_output,1.0878412000020035
total_hidden,1.159689399999479
total_training_7,1.9680905000022904
total_output,1.0948616000023321
total_hidden,1.1637107000024116
total_training_8,2.0025227000005543
total_output,1.1031315000000177
total_hidden,1.1671375000005355
total_training_9,1.989085299999715
total_output,1.08768659999987
total_hidden,1.1619855999997526
total_training_10,1.9893217999997432
total_output,1.0855430999981763
total_hidden,1.160102799996821
total_training_11,1.982822699999815
total_output,1.1117794000019785
total_hidden,1.168504799999937
total_training_12,1.9838270000000193
total_output,1.0938765999999305
total_hidden,1.1676065999999992
total_training_13,1.9913009999982023
total_output,1.1076136999981827
total_hidden,1.1667425999985426
total_training_14,1.9847659999977623
80_100_execution_time,33.20313279999755
