Layer,Duration (seconds)
total_hidden,18.259752700001627
total_output,7.1000013122102246e-06
total_training_0,18.29568140000083
total_hidden,18.13655049999943
total_output,6.399999620043673e-06
total_training_1,18.173358899999585
total_hidden,18.323532700000214
total_output,7.1000013122102246e-06
total_training_2,18.357425500000318
total_hidden,18.32971820000057
total_output,6.399999620043673e-06
total_training_3,18.364039399999456
total_hidden,18.576210100000026
total_output,5.800000508315861e-06
total_training_4,18.61171859999922
total_hidden,18.70951579999928
total_output,1.489999885961879e-05
total_training_5,18.74532949999957
total_hidden,18.23350329999994
total_output,6.8999997893115506e-06
total_training_6,18.268669600000067
total_hidden,18.394416600000113
total_output,6.499998562503606e-06
total_training_7,18.42809650000163
total_hidden,18.287313799999538
total_output,7.3999999585794285e-06
total_training_8,18.32517039999948
total_hidden,18.187898199999836
total_output,6.300000677583739e-06
total_training_9,18.223228499999095
total_hidden,18.343517300001622
total_output,6.299998858594336e-06
total_training_10,18.378894900000887
total_hidden,18.429743299999245
total_output,7.099999493220821e-06
total_training_11,18.464105400000335
total_hidden,18.238368399999672
total_output,6.600001142942347e-06
total_training_12,18.27657689999978
total_hidden,18.303115600001547
total_output,1.4000001101521775e-05
total_training_13,18.33785050000006
total_hidden,18.143450499999744
total_output,6.399999620043673e-06
total_training_14,18.17925599999944
500_80_execution_time,276.32959739999933
