Layer,Duration (seconds)
total_hidden,0.6508933999999726
total_output,6.399999961104186e-06
total_training_0,0.6776601000000255
total_hidden,0.6307094000000006
total_output,6.20000002982124e-06
total_training_1,0.6542508999999654
total_hidden,0.6497540000000299
total_output,7.3999999585794285e-06
total_training_2,0.6733643000000029
total_hidden,0.6344347000000425
total_output,6.499999926745659e-06
total_training_3,0.6582583000000568
total_hidden,0.6393047000000252
total_output,6.600000006073969e-06
total_training_4,0.6634182999999894
total_hidden,0.6437729000000445
total_output,6.399999961104186e-06
total_training_5,0.6680198999999902
total_hidden,0.6364107000000558
total_output,6.900000016685226e-06
total_training_6,0.6600103000000672
total_hidden,0.6338484000000335
total_output,6.099999950492929e-06
total_training_7,0.6568700999999919
total_hidden,0.6517411999999467
total_output,6.900000016685226e-06
total_training_8,0.675662299999999
total_hidden,0.6390335999999479
total_output,6.399999961104186e-06
total_training_9,0.6630059999999958
total_hidden,0.6336602000000084
total_output,6.4000000747910235e-06
total_training_10,0.6573684999999614
total_hidden,0.64181880000001
total_output,7.699999969190685e-06
total_training_11,0.6652596999999787
total_hidden,0.6250478999999132
total_output,6.4000000747910235e-06
total_training_12,0.6480251000000408
total_hidden,0.6497607000000016
total_output,6.699999971715442e-06
total_training_13,0.6732284999999365
total_hidden,0.635264700000107
total_output,6.299999995462713e-06
total_training_14,0.6592741000000615
20_80_execution_time,10.856219600000031
