Layer,Duration (seconds)
total_training_0,4.419389599999704
total_training_1,4.424475199999961
total_training_2,4.411624599999868
total_training_3,4.378391700000066
total_training_4,4.391077299999779
total_training_5,4.373352699999941
total_training_6,4.375230500000271
total_training_7,4.380762000000232
total_training_8,4.393656799999917
total_training_9,4.373029899999892
total_training_10,4.403318599999693
total_training_11,4.37439059999997
total_training_12,4.376790799999981
total_training_13,4.390797699999894
total_training_14,4.395527099999981
40_60_execution_time,65.88598809999985
