Layer,Duration (seconds)
total_output,8.586127200000192
total_hidden,29.94349290000173
total_training_0,30.946323699998175
total_output,8.728030999998737
total_hidden,29.898994200000743
total_training_1,30.873557699997036
total_output,8.516616500000964
total_hidden,29.434898100000282
total_training_2,30.39482990000033
total_output,8.580511500000284
total_hidden,29.603275000001304
total_training_3,30.579766099999688
total_output,8.46085469999889
total_hidden,29.250090100002126
total_training_4,30.173181999998633
total_output,8.382789999999659
total_hidden,29.088241699999344
total_training_5,30.009524999997666
total_output,8.386633699999948
total_hidden,29.135565900000074
total_training_6,30.057226200002333
total_output,8.373156600002403
total_hidden,29.28767449999941
total_training_7,30.207843199998024
total_output,8.376974799997697
total_hidden,29.017302699998254
total_training_8,29.939980399998603
total_output,8.368225099999108
total_hidden,29.10490789999676
total_training_9,30.02811289999954
total_output,8.364774099998613
total_hidden,29.201870799999597
total_training_10,30.120798600000853
total_output,8.397110400001111
total_hidden,29.214846700000635
total_training_11,30.163620499999524
total_output,8.384974600001442
total_hidden,28.919316299998172
total_training_12,29.845629300001747
total_output,8.371426900001097
total_hidden,29.024478499999532
total_training_13,29.94287229999827
total_output,8.372521200002666
total_hidden,29.128461700001935
total_training_14,30.064147000000958
500_40_execution_time,453.3990936000009
