training_type,data_name,max_iter,n_particle,exec,score_train,score_test,score_val
one_individual_layers,breast,20,20,52.832834799999546,0.11055276381909548,0.043859649122807015,0.07017543859649122
one_individual_layers,breast,20,40,103.95365780000066,0.07537688442211055,0.06140350877192982,0.07017543859649122
one_individual_layers,breast,20,60,154.9524201000022,0.07035175879396985,0.043859649122807015,0.03508771929824561
one_individual_layers,breast,20,80,203.70141870000225,0.04773869346733668,0.03508771929824561,0.0
one_individual_layers,breast,20,100,253.26204940000025,0.04773869346733668,0.043859649122807015,0.03508771929824561
one_individual_layers,breast,40,20,105.37248389999877,0.06030150753768844,0.02631578947368421,0.03508771929824561
one_individual_layers,breast,40,40,203.8824421999998,0.03768844221105527,0.043859649122807015,0.05263157894736842
one_individual_layers,breast,40,60,299.2094332000015,0.05778894472361809,0.02631578947368421,0.03508771929824561
one_individual_layers,breast,40,80,395.27541389999897,0.04522613065326633,0.03508771929824561,0.05263157894736842
one_individual_layers,breast,40,100,490.4372015000008,0.05527638190954774,0.02631578947368421,0.08771929824561403
one_individual_layers,breast,60,20,151.9794963000022,0.06532663316582915,0.043859649122807015,0.05263157894736842
one_individual_layers,breast,60,40,302.1919056000006,0.04271356783919598,0.017543859649122806,0.03508771929824561
one_individual_layers,breast,60,60,442.8286442999997,0.03768844221105527,0.05263157894736842,0.017543859649122806
one_individual_layers,breast,60,80,589.7093873000013,0.035175879396984924,0.02631578947368421,0.017543859649122806
one_individual_layers,breast,60,100,731.7993204000013,0.06532663316582915,0.043859649122807015,0.017543859649122806
one_individual_layers,breast,80,20,207.05453370000032,0.06532663316582915,0.03508771929824561,0.03508771929824561
one_individual_layers,breast,80,40,401.0092751000011,0.04020100502512563,0.03508771929824561,0.017543859649122806
one_individual_layers,breast,80,60,587.3687539999992,0.07537688442211055,0.02631578947368421,0.05263157894736842
one_individual_layers,breast,80,80,781.1038038000006,0.04271356783919598,0.02631578947368421,0.017543859649122806
one_individual_layers,breast,80,100,968.7108963999999,0.052763819095477386,0.008771929824561403,0.03508771929824561
one_individual_layers,breast,100,20,256.38160439999774,0.0678391959798995,0.02631578947368421,0.07017543859649122
one_individual_layers,breast,100,40,497.18743189999805,0.052763819095477386,0.02631578947368421,0.03508771929824561
one_individual_layers,breast,100,60,729.7955493000009,0.04271356783919598,0.02631578947368421,0.017543859649122806
one_individual_layers,breast,100,80,968.3767159000017,0.07537688442211055,0.02631578947368421,0.017543859649122806
one_individual_layers,breast,100,100,1206.6571382000002,0.05025125628140704,0.017543859649122806,0.03508771929824561
one_individual_layers,breast,500,20,1272.1191381999997,0.01256281407035176,0.017543859649122806,0.0
one_individual_layers,breast,500,40,2469.1855892999993,0.01256281407035176,0.008771929824561403,0.03508771929824561
one_individual_layers,breast,500,60,3617.0630486999944,0.007537688442211055,0.008771929824561403,0.0
one_individual_layers,breast,500,80,4813.189985199999,0.03768844221105527,0.008771929824561403,0.0
one_individual_layers,breast,500,100,5977.694787799999,0.05527638190954774,0.008771929824561403,0.017543859649122806
one_individual_layers,breast,1000,20,2522.7473574000032,0.01507537688442211,0.008771929824561403,0.017543859649122806
one_individual_layers,breast,1000,40,4926.320883799999,0.005025125628140704,0.017543859649122806,0.0
one_individual_layers,breast,1000,60,7235.380625800004,0.005025125628140704,0.0,0.0
one_individual_layers,breast,1000,80,9628.6896556,0.0,0.008771929824561403,0.017543859649122806
one_individual_layers,breast,1000,100,11981.154554199995,0.005025125628140704,0.008771929824561403,0.017543859649122806
