Layer,Duration (seconds)
total_training_0,36.057766200001424
total_training_1,36.582013299999744
total_training_2,36.20568980000098
total_training_3,36.20114049999938
total_training_4,36.846365600000354
total_training_5,36.51030260000152
total_training_6,36.28674080000019
total_training_7,36.66407680000157
total_training_8,36.28361440000117
total_training_9,36.15083129999948
total_training_10,36.3285663000006
total_training_11,36.54976469999929
total_training_12,36.33875640000042
total_training_13,36.22169180000128
total_training_14,36.58163109999987
1000_20_execution_time,545.8488496999998
