Layer,Duration (seconds)
total_output,12.409003999997367
total_hidden,43.60255590000088
total_training_0,44.514915399999154
total_output,12.301403299999947
total_hidden,43.18793640000149
total_training_1,44.113867899999605
total_output,12.377149400002963
total_hidden,43.227949099997204
total_training_2,44.1465661000002
total_output,12.525565800002369
total_hidden,43.34871859999839
total_training_3,44.27069440000196
total_output,12.362850299999991
total_hidden,43.40056689999983
total_training_4,44.345642000000225
total_output,12.466908099999273
total_hidden,43.307975300002
total_training_5,44.906863899999735
total_output,12.480679700001929
total_hidden,43.14009910000095
total_training_6,47.79249880000134
total_output,12.371321599999646
total_hidden,42.92825879999873
total_training_7,43.88727609999842
total_output,12.376271100001759
total_hidden,43.175879800000985
total_training_8,44.105914499999926
total_output,12.380801799998153
total_hidden,43.16435900000215
total_training_9,44.09040329999698
total_output,12.263485699997545
total_hidden,42.829240399998525
total_training_10,43.75618499999837
total_output,12.387359299998934
total_hidden,43.212943200000154
total_training_11,44.13720029999968
total_output,12.376108200001909
total_hidden,43.122168100002455
total_training_12,44.047738299999764
total_output,12.241371500000241
total_hidden,43.43217480000021
total_training_13,44.3534307000009
total_output,12.400621099997807
total_hidden,43.288276600000245
total_training_14,44.224354900001345
500_60_execution_time,666.7467400999994
