training_type,data_name,max_iter,n_particle,avgBest
training_exchange_layers_e,circle,500,40,0.2250416169911068
training_exchange_layers_e,circle,500,60,0.1252269028194277
training_exchange_layers_e,circle,500,80,0.2724136948774698
training_exchange_layers_e,circle,500,100,0.1530329939553157
training_exchange_layers_e,circle,1000,20,0.1587466233209701
training_exchange_layers_e,circle,1000,40,0.118780264798625
training_exchange_layers_e,circle,1000,60,0.0835488365463585
training_exchange_layers_e,circle,1000,80,0.1792171755431719
training_exchange_layers_e,circle,1000,100,0.1576546684233103
no_individual_layers,circle,20,20,0.6870088536901144
no_individual_layers,circle,20,40,0.682114996553275
no_individual_layers,circle,20,60,0.6882619700242076
no_individual_layers,circle,20,80,0.682533181010511
no_individual_layers,circle,20,100,0.6968185884101715
no_individual_layers,circle,40,20,0.6684296865043018
no_individual_layers,circle,40,40,0.6571551528399767
no_individual_layers,circle,40,60,0.6498261990651472
no_individual_layers,circle,40,80,0.6574825283826559
no_individual_layers,circle,40,100,0.632811708923306
no_individual_layers,circle,60,20,0.6435662532908828
no_individual_layers,circle,60,40,0.6101098449211274
no_individual_layers,circle,60,60,0.6318770189570789
no_individual_layers,circle,60,80,0.5915083238422966
no_individual_layers,circle,60,100,0.6041484375940643
no_individual_layers,circle,80,20,0.6689869946281779
no_individual_layers,circle,80,40,0.6324051989824001
no_individual_layers,circle,80,60,0.589690035689353
no_individual_layers,circle,80,80,0.6092439508828468
no_individual_layers,circle,80,100,0.6137812237711967
no_individual_layers,circle,100,20,0.5934389599644581
no_individual_layers,circle,100,40,0.5551311125613285
no_individual_layers,circle,100,60,0.5906756950751039
no_individual_layers,circle,100,80,0.5729893922497283
no_individual_layers,circle,100,100,0.4840762893931883
no_individual_layers,circle,500,20,0.649150131140169
no_individual_layers,circle,500,40,0.5161427755475906
no_individual_layers,circle,500,60,0.4288128154886897
no_individual_layers,circle,500,80,0.5299169123909498
no_individual_layers,circle,500,100,0.4227404525247092
no_individual_layers,circle,1000,20,0.4763107683171784
no_individual_layers,circle,1000,40,0.5046159402481419
no_individual_layers,circle,1000,60,0.2694487844110856
no_individual_layers,circle,1000,80,0.333994820597589
no_individual_layers,circle,1000,100,0.3557036465778366
no_exchange_layers,circle,20,20,0.6617515258297509
no_exchange_layers,circle,20,40,0.6837674701326337
no_exchange_layers,circle,20,60,0.6699140622416847
no_exchange_layers,circle,20,80,0.7026308719340708
no_exchange_layers,circle,20,100,0.7497276553033844
no_exchange_layers,circle,40,20,0.5696295295959618
no_exchange_layers,circle,40,40,0.7249753276912401
no_exchange_layers,circle,40,60,0.6101055873941189
no_exchange_layers,circle,40,80,0.6200284947835863
no_exchange_layers,circle,40,100,0.9002678891913739
no_exchange_layers,circle,60,20,0.5826091439755967
no_exchange_layers,circle,60,40,0.5000418490313717
no_exchange_layers,circle,60,60,0.8405439018371212
no_exchange_layers,circle,60,80,0.5559603150293395
no_exchange_layers,circle,60,100,0.6057808317680763
no_exchange_layers,circle,80,20,0.4770694334279172
no_exchange_layers,circle,80,40,0.4494452354941647
no_exchange_layers,circle,80,60,0.5368775113731181
no_exchange_layers,circle,80,80,0.4437604621710256
no_exchange_layers,circle,80,100,0.629925754831647
no_exchange_layers,circle,100,20,0.4613840216626254
no_exchange_layers,circle,100,40,0.4212219536716385
no_exchange_layers,circle,100,60,0.3514558487060366
no_exchange_layers,circle,100,80,0.3567064403669849
no_exchange_layers,circle,100,100,0.4408769044096645
