Layer,Duration (seconds)
total_hidden,5.813944400000764
total_output,7.1000013122102246e-06
total_training_0,5.830318300000727
total_hidden,5.959460199999739
total_output,1.6799998775240965e-05
total_training_1,5.974933900000906
total_hidden,5.968807499999457
total_output,6.900001608300954e-06
total_training_2,5.984461799998826
total_hidden,5.774283499999001
total_output,6.7999990278622136e-06
total_training_3,5.789328300001216
total_hidden,5.857886099998723
total_output,7.5000007200287655e-06
total_training_4,5.873512300000584
total_hidden,5.8961779000001115
total_output,6.499998562503606e-06
total_training_5,5.9116202000004705
total_hidden,5.801669999998921
total_output,7.1999984356807545e-06
total_training_6,5.816963400000532
total_hidden,5.91818609999973
total_output,8.699998943484388e-06
total_training_7,5.934533600000577
total_hidden,5.929129000000103
total_output,7.0000005507608876e-06
total_training_8,5.944557500000883
total_hidden,5.822206599999845
total_output,6.800000846851617e-06
total_training_9,5.837303000000247
total_hidden,5.847022199999628
total_output,5.800000508315861e-06
total_training_10,5.862329099998533
total_hidden,5.828020799999649
total_output,6.50000038149301e-06
total_training_11,5.84305040000072
total_hidden,6.059862200001589
total_output,6.7999990278622136e-06
total_training_12,6.07502310000018
total_hidden,5.93517360000078
total_output,3.000000106112566e-05
total_training_13,5.95052300000134
total_hidden,5.9159780999998475
total_output,6.7999990278622136e-06
total_training_14,5.931673099999898
500_20_execution_time,89.46260129999973
