training_type,data_name,max_iter,n_particle,stdBest
exchange_layers,wine,1000,60,0.03798623023785968
exchange_layers,wine,1000,80,0.05680874988224518
exchange_layers,wine,1000,100,0.061304257344955065
individual_layers,breast,20,20,0.37143520040504235
individual_layers,breast,20,40,0.4215604482945423
individual_layers,breast,20,60,0.4769627744810349
individual_layers,breast,20,80,0.45940359414843296
individual_layers,breast,20,100,0.42388695761108497
individual_layers,breast,40,20,0.30152761354069024
individual_layers,breast,40,40,0.2993948364225416
individual_layers,breast,40,60,0.3113517022173715
individual_layers,breast,40,80,0.3508755984015602
individual_layers,breast,40,100,0.3248840858060518
individual_layers,breast,60,20,0.2778846492132515
individual_layers,breast,60,40,0.22965210289116775
individual_layers,breast,60,60,0.23681582609857268
individual_layers,breast,60,80,0.24838058482522402
individual_layers,breast,60,100,0.2798725507839632
individual_layers,breast,80,20,0.22316793291652412
individual_layers,breast,80,40,0.19581309925223228
individual_layers,breast,80,60,0.21955856335294474
individual_layers,breast,80,80,0.22307460991418324
individual_layers,breast,80,100,0.1763186555015363
individual_layers,breast,100,20,0.19222566988128867
individual_layers,breast,100,40,0.1932197893665783
individual_layers,breast,100,60,0.18352997651567443
individual_layers,breast,100,80,0.20966752951198955
individual_layers,breast,100,100,0.2304904551147838
individual_layers,breast,500,20,0.07021464228057266
individual_layers,breast,500,40,0.06657260877940811
individual_layers,breast,500,60,0.07113806440451464
individual_layers,breast,500,80,0.08697876532413111
individual_layers,breast,500,100,0.08626697361877121
individual_layers,breast,1000,20,0.0313959249630975
individual_layers,breast,1000,40,0.029884265545352034
individual_layers,breast,1000,60,0.04529154305657342
individual_layers,breast,1000,80,0.061356015349641725
individual_layers,breast,1000,100,0.06201245384592974
individual_layers,circle,20,20,0.026941351674268307
individual_layers,circle,20,40,0.07431177850961854
individual_layers,circle,20,60,0.07737965214625599
individual_layers,circle,20,80,0.04803517907216005
individual_layers,circle,20,100,0.061581996172652496
individual_layers,circle,40,20,0.0175455952567935
individual_layers,circle,40,40,0.03221262856864442
individual_layers,circle,40,60,0.058629466159486374
individual_layers,circle,40,80,0.05209329103149181
individual_layers,circle,40,100,0.04370539402085078
individual_layers,circle,60,20,0.0167006955011939
individual_layers,circle,60,40,0.06121089178303522
individual_layers,circle,60,60,0.03446910255260302
individual_layers,circle,60,80,0.03715029599926929
individual_layers,circle,60,100,0.047190401393122784
individual_layers,circle,80,20,0.03922420994093925
individual_layers,circle,80,40,0.018229107124325454
individual_layers,circle,80,60,0.033071178657451746
individual_layers,circle,80,80,0.03846950662588607
individual_layers,circle,80,100,0.04780773813763279
individual_layers,circle,100,20,0.020856526634837613
individual_layers,circle,100,40,0.015715090402917745
individual_layers,circle,100,60,0.016701507748226697
individual_layers,circle,100,80,0.031594633950997666
individual_layers,circle,100,100,0.03843712146245107
individual_layers,circle,500,20,0.008780159931283095
individual_layers,circle,500,40,0.007383431444089658
individual_layers,circle,500,60,0.016089284740753437
individual_layers,circle,500,80,0.012410791737232602
individual_layers,circle,500,100,0.017847949685115036
individual_layers,circle,1000,20,0.0011642793769819906
individual_layers,circle,1000,40,0.005001197096494433
individual_layers,circle,1000,60,0.009927084802396456
individual_layers,circle,1000,80,0.01201075299542348
individual_layers,circle,1000,100,0.014733553698353833
individual_layers,iris,20,20,0.19814316133542725
individual_layers,iris,20,40,0.24004158228854994
individual_layers,iris,20,60,0.2208579753610792
individual_layers,iris,20,80,0.20353019315512333
individual_layers,iris,20,100,0.19928581766134731
individual_layers,iris,40,20,0.15560716182593415
individual_layers,iris,40,40,0.17892412931641122
individual_layers,iris,40,60,0.1734233334437882
individual_layers,iris,40,80,0.23741242219322437
individual_layers,iris,40,100,0.18710094939371663
individual_layers,iris,60,20,0.10436143958093641
individual_layers,iris,60,40,0.1253244448691682
individual_layers,iris,60,60,0.12677944507867392
individual_layers,iris,60,80,0.15545629215941814
individual_layers,iris,60,100,0.17453369464304194
individual_layers,iris,80,20,0.0683080424307278
individual_layers,iris,80,40,0.10517688592454129
individual_layers,iris,80,60,0.11400390003920548
individual_layers,iris,80,80,0.111419788912788
individual_layers,iris,80,100,0.1475050742509815
individual_layers,iris,100,20,0.10088909386397188
individual_layers,iris,100,40,0.09471091538097111
individual_layers,iris,100,60,0.09735850613845029
individual_layers,iris,100,80,0.10596981067331432
individual_layers,iris,100,100,0.09804573928647688
individual_layers,iris,500,20,0.011587700074650797
individual_layers,iris,500,40,0.022137782924228085
individual_layers,iris,500,60,0.018733020974998287
individual_layers,iris,500,80,0.02356545575798201
individual_layers,iris,500,100,0.024367700016844043
individual_layers,iris,1000,20,0.012631744992363098
individual_layers,iris,1000,40,0.008150008162328479
individual_layers,iris,1000,60,0.01169970199115419
individual_layers,iris,1000,80,0.015333527701631811
individual_layers,iris,1000,100,0.015627508747065227
individual_layers,wine,20,20,0.5047124090832068
individual_layers,wine,20,40,0.599579319214482
individual_layers,wine,20,60,0.54723986618354
individual_layers,wine,20,80,0.5564317976863712
individual_layers,wine,20,100,0.5065316398293321
individual_layers,wine,40,20,0.387461102574037
individual_layers,wine,40,40,0.45862531930204725
individual_layers,wine,40,60,0.4347179912706218
