Layer,Duration (seconds)
total_hidden,53.43054250000023
total_output,7.699998604948632e-06
total_training_0,53.636582299999645
total_hidden,56.030188499998985
total_output,7.3999999585794285e-06
total_training_1,56.265652000000046
total_hidden,53.364107899999
total_output,8.000000889296643e-06
total_training_2,53.587043300000005
total_hidden,55.3321233000006
total_output,8.099999831756577e-06
total_training_3,55.56166470000062
total_hidden,53.26192959999935
total_output,8.099999831756577e-06
total_training_4,53.48958390000007
total_hidden,55.45762840000134
total_output,6.50000038149301e-06
total_training_5,55.69953770000029
total_hidden,53.47285270000066
total_output,7.6000014814781025e-06
total_training_6,53.69522340000003
total_hidden,56.24794379999912
total_output,7.800001185387373e-06
total_training_7,56.47050730000046
total_hidden,53.388275299999805
total_output,8.099999831756577e-06
total_training_8,53.63223689999904
total_hidden,54.59670510000069
total_output,8.400000297115184e-06
total_training_9,54.83903090000058
total_hidden,55.09549800000059
total_output,7.700000423938036e-06
total_training_10,55.33966549999968
total_hidden,53.32438550000006
total_output,7.700000423938036e-06
total_training_11,53.555279000000155
total_hidden,56.25786109999899
total_output,7.899998308857903e-06
total_training_12,56.50809229999868
total_hidden,53.107884700000795
total_output,7.99999907030724e-06
total_training_13,53.34308769999916
total_hidden,54.958824900000764
total_output,7.499998901039362e-06
total_training_14,55.19156590000057
60_100_execution_time,821.7676305000005
