Layer,Duration (seconds)
total_hidden,43.87351540000236
total_output,6.300000677583739e-06
total_training_0,43.91685830000279
total_hidden,43.897252599999774
total_output,7.000002369750291e-06
total_training_1,43.93255399999907
total_hidden,43.586013600001024
total_output,1.9999999494757503e-05
total_training_2,43.62764319999769
total_hidden,43.57980769999995
total_output,9.700001101009548e-06
total_training_3,43.6226725000015
total_hidden,43.17731129999811
total_output,6.899997970322147e-06
total_training_4,43.22357369999736
total_hidden,43.29520989999946
total_output,6.099999154685065e-06
total_training_5,43.331273100000544
total_hidden,43.582729599998856
total_output,6.400001439033076e-06
total_training_6,43.62389249999978
total_hidden,43.65885789999811
total_output,6.70000008540228e-06
total_training_7,43.698495299999195
total_hidden,43.5729965999999
total_output,6.599999323952943e-06
total_training_8,43.60744969999723
total_hidden,43.34158930000194
total_output,8.800001523923129e-06
total_training_9,43.38908739999897
total_hidden,43.42503970000325
total_output,6.199999916134402e-06
total_training_10,43.46689969999716
total_hidden,43.25258179999946
total_output,6.500002200482413e-06
total_training_11,43.30234769999879
total_hidden,43.5272922999975
total_output,6.300000677583739e-06
total_training_12,43.56274929999927
total_hidden,43.92799920000107
total_output,7.400001777568832e-06
total_training_13,43.96349669999836
total_hidden,43.549852199997986
total_output,6.599999323952943e-06
total_training_14,43.58668640000178
1000_20_execution_time,656.2039326999984
