training_type,data_name,max_iter,n_particle,avg_exe
training_exchange_layers_e,iris,500,100,22.655385600000223
training_exchange_layers_e,iris,1000,20,14.055985753333273
training_exchange_layers_e,iris,1000,40,22.44751978666645
training_exchange_layers_e,iris,1000,60,30.894248479999927
training_exchange_layers_e,iris,1000,80,39.84244864000029
training_exchange_layers_e,iris,1000,100,47.53652350666659
no_individual_layers,iris,20,20,0.1836072800000048
no_individual_layers,iris,20,40,0.3307468666666598
no_individual_layers,iris,20,60,0.495171839999989
no_individual_layers,iris,20,80,0.6404221066666651
no_individual_layers,iris,20,100,0.7951058733333298
no_individual_layers,iris,40,20,0.3466328933333443
no_individual_layers,iris,40,40,0.6522478466666674
no_individual_layers,iris,40,60,0.9196308733333354
no_individual_layers,iris,40,80,1.1989297600000175
no_individual_layers,iris,40,100,1.515292113333324
no_individual_layers,iris,60,20,0.5068703599999935
no_individual_layers,iris,60,40,0.9387106666666644
no_individual_layers,iris,60,60,1.3606415666666711
no_individual_layers,iris,60,80,1.7956471266666616
no_individual_layers,iris,60,100,2.2944328399999905
no_individual_layers,iris,80,20,0.6941895066666575
no_individual_layers,iris,80,40,1.2739532066666697
no_individual_layers,iris,80,60,1.8452675599999944
no_individual_layers,iris,80,80,2.411538726666678
no_individual_layers,iris,80,100,2.967653833333338
no_individual_layers,iris,100,20,0.8383788133333231
no_individual_layers,iris,100,40,1.5563292799999924
no_individual_layers,iris,100,60,2.256949086666645
no_individual_layers,iris,100,80,2.96250938666667
no_individual_layers,iris,100,100,3.674655693333322
no_individual_layers,iris,500,20,4.108223293333299
no_individual_layers,iris,500,40,7.560853806666698
no_individual_layers,iris,500,60,11.087137039999956
no_individual_layers,iris,500,80,14.427974266666704
no_individual_layers,iris,500,100,18.21092351333333
no_individual_layers,iris,1000,20,8.300190720000016
no_individual_layers,iris,1000,40,15.100991526666652
no_individual_layers,iris,1000,60,21.97951290000004
no_individual_layers,iris,1000,80,28.942695766666777
no_individual_layers,iris,1000,100,35.85190333333336
no_exchange_layers,iris,20,20,0.1872521933333435
no_exchange_layers,iris,20,40,0.3510835333333299
no_exchange_layers,iris,20,60,0.4995983133333273
no_exchange_layers,iris,20,80,0.6516976399999976
no_exchange_layers,iris,20,100,0.7927787666666746
no_exchange_layers,iris,40,20,0.3522313666666756
no_exchange_layers,iris,40,40,0.6437567533333171
no_exchange_layers,iris,40,60,0.9343721066666908
no_exchange_layers,iris,40,80,1.2320607133333092
no_exchange_layers,iris,40,100,1.5439096933333378
no_exchange_layers,iris,60,20,0.5360101333333508
no_exchange_layers,iris,60,40,0.9738921999999852
no_exchange_layers,iris,60,60,1.3845010333333296
no_exchange_layers,iris,60,80,1.838814246666675
no_exchange_layers,iris,60,100,2.255356760000003
no_exchange_layers,iris,80,20,0.6786679000000049
no_exchange_layers,iris,80,40,1.2539943133333282
no_exchange_layers,iris,80,60,1.827688613333324
no_exchange_layers,iris,80,80,2.423012086666669
no_exchange_layers,iris,80,100,2.988779206666686
no_exchange_layers,iris,100,20,0.8460331266666723
no_exchange_layers,iris,100,40,1.560583033333334
no_exchange_layers,iris,100,60,2.3039078066666585
no_exchange_layers,iris,100,80,2.995845660000024
no_exchange_layers,iris,100,100,3.714325186666671
no_exchange_layers,iris,500,20,4.235898926666626
