Layer,Duration (seconds)
total_hidden,2.879584999999679
total_output,1.3300000318849925e-05
total_training_0,2.9112263999995776
total_hidden,2.904840599999261
total_output,6.600000233447645e-06
total_training_1,2.9345893999998225
total_hidden,2.8743166999993264
total_output,6.50000038149301e-06
total_training_2,2.906559400000333
total_hidden,2.9228775999999925
total_output,6.400000529538374e-06
total_training_3,2.95295890000034
total_hidden,2.924221499999476
total_output,6.70000008540228e-06
total_training_4,2.9544914999996763
total_hidden,2.9051912999993874
total_output,7.199999345175456e-06
total_training_5,2.940551100000448
total_hidden,2.9171413000003668
total_output,6.50000038149301e-06
total_training_6,2.9482766000000993
total_hidden,2.9294887000005474
total_output,6.50000038149301e-06
total_training_7,2.9618807999995624
total_hidden,2.88025639999978
total_output,1.2400000741763506e-05
total_training_8,2.91305790000024
total_hidden,2.8495491000003312
total_output,6.000000212225132e-06
total_training_9,2.880361499999708
total_hidden,2.957605099999455
total_output,1.1000000085914508e-05
total_training_10,2.9895761999996466
total_hidden,2.860816700000214
total_output,6.299999768089037e-06
total_training_11,2.8944910000000164
total_hidden,2.8507300999999643
total_output,6.100000064179767e-06
total_training_12,2.8809591999997792
total_hidden,2.8666075000001
total_output,6.299999768089037e-06
total_training_13,2.9006860999998025
total_hidden,2.8710713000000396
total_output,6.000000212225132e-06
total_training_14,2.905121099999633
80_80_execution_time,44.79916400000002
