Layer,Duration (seconds)
total_output,0.14572680000003402
total_hidden,0.18757150000004685
total_training_0,0.3333001999999965
total_output,0.14111609999997654
total_hidden,0.18304729999999836
total_training_1,0.3241651000000161
total_output,0.14226330000002463
total_hidden,0.1881141999999727
total_training_2,0.33037919999998167
total_output,0.14691890000000285
total_hidden,0.18283400000001393
total_training_3,0.32975439999995615
total_output,0.14396990000000187
total_hidden,0.1834307000000308
total_training_4,0.3274027999999589
total_output,0.147912099999985
total_hidden,0.18971870000001445
total_training_5,0.3376332000000275
total_output,0.1474354000000062
total_hidden,0.1899222999999779
total_training_6,0.3373591000000147
total_output,0.14234929999997803
total_hidden,0.18883209999995643
total_training_7,0.33118280000002187
total_output,0.14638899999999921
total_hidden,0.18769159999999374
total_training_8,0.33408209999998917
total_output,0.14197580000001153
total_hidden,0.18272340000004306
total_training_9,0.32470050000000583
total_output,0.14179180000002134
total_hidden,0.1852863999999954
total_training_10,0.32707950000002484
total_output,0.1409432000000379
total_hidden,0.18240160000004835
total_training_11,0.32334609999998065
total_output,0.14095990000004122
total_hidden,0.18355410000003758
total_training_12,0.3245152999999732
total_output,0.1589309999999955
total_hidden,0.18934289999998555
total_training_13,0.34827569999998786
total_output,0.14412360000000035
total_hidden,0.183901800000001
total_training_14,0.3280269999999632
20_40_execution_time,5.085508800000014
