Layer,Duration (seconds)
total_output,37.379899399998976
total_hidden,221.3357032999993
total_training_0,222.16115010000067
total_output,38.825155300000915
total_hidden,224.0462368999979
total_training_1,224.88184199999523
total_output,37.88186019999557
total_hidden,223.66962920000515
total_training_2,225.76938810000138
total_output,36.99559749999753
total_hidden,221.50760090000404
total_training_3,222.31830450000416
total_output,37.93285349999496
total_hidden,222.79557049999858
total_training_4,223.6307328000039
total_output,37.687303200000315
total_hidden,223.64117439999973
total_training_5,224.47304430000077
total_output,37.486334099994565
total_hidden,224.0247464999993
total_training_6,224.84131160000106
total_output,37.135797400005686
total_hidden,221.34330520000367
total_training_7,222.17747059999965
total_output,37.19735550000041
total_hidden,221.82583149999846
total_training_8,222.661334299999
total_output,36.47053429999505
total_hidden,220.38706199999433
total_training_9,221.2108517000015
total_output,37.564183700000285
total_hidden,222.09625749999395
total_training_10,222.93056929999875
total_output,37.99399660000199
total_hidden,220.3440976999991
total_training_11,221.18136850000155
total_output,38.176774799998384
total_hidden,224.41951639999752
total_training_12,225.28737069999625
total_output,37.52054379999754
total_hidden,221.1683944000033
total_training_13,221.99477959999786
total_output,37.52977259999898
total_hidden,220.40714339999977
total_training_14,221.25243419999606
500_60_execution_time,3346.8373231999976
